fdcId,database,subCategory
2705979,survey_fndds,"Chicken, whole pieces"
2705980,survey_fndds,"Chicken, whole pieces"
2705981,survey_fndds,"Chicken, whole pieces"
2705982,survey_fndds,"Chicken, whole pieces"
2705983,survey_fndds,"Chicken, whole pieces"
2705984,survey_fndds,"Chicken, whole pieces"
2705985,survey_fndds,"Chicken, whole pieces"
2705986,survey_fndds,"Chicken, whole pieces"
2705987,survey_fndds,"Chicken, whole pieces"
2705988,survey_fndds,"Chicken, whole pieces"
2705989,survey_fndds,"Chicken, whole pieces"
2705990,survey_fndds,"Chicken, whole pieces"
2705991,survey_fndds,"Chicken, whole pieces"
2705992,survey_fndds,"Chicken, whole pieces"
2705993,survey_fndds,"Chicken, whole pieces"
2705994,survey_fndds,"Chicken, whole pieces"
2705995,survey_fndds,"Chicken, whole pieces"
2705996,survey_fndds,"Chicken, whole pieces"
2705997,survey_fndds,"Chicken, whole pieces"
2705998,survey_fndds,"Chicken, whole pieces"
2705999,survey_fndds,"Chicken, whole pieces"
2706000,survey_fndds,"Chicken, whole pieces"
2706001,survey_fndds,"Chicken, whole pieces"
2706002,survey_fndds,"Chicken, whole pieces"
2706003,survey_fndds,"Chicken, whole pieces"
2706004,survey_fndds,"Chicken, whole pieces"
